Epoch,Type,Metric,Algorithm,Value
25,Train set,Average loss,Adam,0.2124
25,Train set,Accuracy,Adam,89.0
25,Test set,Average loss,Adam,0.4695
25,Test set,Accuracy,Adam,84.0
26,Train set,Average loss,Adam,0.3121
26,Train set,Accuracy,Adam,88.0
26,Test set,Average loss,Adam,0.6316
26,Test set,Accuracy,Adam,85.0
27,Train set,Average loss,Adam,0.5233
27,Train set,Accuracy,Adam,89.0
27,Test set,Average loss,Adam,0.391
27,Test set,Accuracy,Adam,86.0
28,Train set,Average loss,Adam,0.3886
28,Train set,Accuracy,Adam,89.0
28,Test set,Average loss,Adam,0.518
28,Test set,Accuracy,Adam,85.0
29,Train set,Average loss,Adam,0.3869
29,Train set,Accuracy,Adam,89.0
29,Test set,Average loss,Adam,0.4711
29,Test set,Accuracy,Adam,86.0
30,Train set,Average loss,Adam,0.4236
30,Train set,Accuracy,Adam,88.0
30,Test set,Average loss,Adam,0.4501
30,Test set,Accuracy,Adam,85.0
1,Train set,Average loss,AdamW,0.5123
1,Train set,Accuracy,AdamW,81.0
1,Test set,Average loss,AdamW,0.4223
1,Test set,Accuracy,AdamW,83.0
2,Train set,Average loss,AdamW,0.5104
2,Train set,Accuracy,AdamW,85.0
2,Test set,Average loss,AdamW,0.5457
2,Test set,Accuracy,AdamW,81.0
3,Train set,Average loss,AdamW,0.4153
3,Train set,Accuracy,AdamW,85.0
3,Test set,Average loss,AdamW,0.4171
3,Test set,Accuracy,AdamW,85.0
4,Train set,Average loss,AdamW,0.7678
4,Train set,Accuracy,AdamW,86.0
4,Test set,Average loss,AdamW,0.4635
4,Test set,Accuracy,AdamW,84.0
5,Train set,Average loss,AdamW,0.2522
5,Train set,Accuracy,AdamW,86.0
5,Test set,Average loss,AdamW,0.4443
5,Test set,Accuracy,AdamW,85.0
6,Train set,Average loss,AdamW,0.4104
6,Train set,Accuracy,AdamW,86.0
6,Test set,Average loss,AdamW,0.4037
6,Test set,Accuracy,AdamW,84.0
7,Train set,Average loss,AdamW,0.3069
7,Train set,Accuracy,AdamW,86.0
7,Test set,Average loss,AdamW,0.5005
7,Test set,Accuracy,AdamW,84.0
8,Train set,Average loss,AdamW,0.5168
8,Train set,Accuracy,AdamW,87.0
8,Test set,Average loss,AdamW,0.3992
8,Test set,Accuracy,AdamW,84.0
9,Train set,Average loss,AdamW,0.2705
9,Train set,Accuracy,AdamW,87.0
9,Test set,Average loss,AdamW,0.4369
9,Test set,Accuracy,AdamW,85.0
10,Train set,Average loss,AdamW,0.3595
10,Train set,Accuracy,AdamW,86.0
10,Test set,Average loss,AdamW,0.4446
10,Test set,Accuracy,AdamW,84.0
11,Train set,Average loss,AdamW,0.3804
11,Train set,Accuracy,AdamW,86.0
11,Test set,Average loss,AdamW,0.5003
11,Test set,Accuracy,AdamW,84.0
12,Train set,Average loss,AdamW,0.3618
12,Train set,Accuracy,AdamW,87.0
12,Test set,Average loss,AdamW,0.4794
12,Test set,Accuracy,AdamW,85.0
13,Train set,Average loss,AdamW,0.2742
13,Train set,Accuracy,AdamW,87.0
13,Test set,Average loss,AdamW,0.5423
13,Test set,Accuracy,AdamW,83.0
14,Train set,Average loss,AdamW,0.7231
14,Train set,Accuracy,AdamW,87.0
14,Test set,Average loss,AdamW,0.4257
14,Test set,Accuracy,AdamW,86.0
15,Train set,Average loss,AdamW,0.4516
15,Train set,Accuracy,AdamW,87.0
15,Test set,Average loss,AdamW,0.5907
15,Test set,Accuracy,AdamW,83.0
16,Train set,Average loss,AdamW,0.3438
16,Train set,Accuracy,AdamW,87.0
16,Test set,Average loss,AdamW,0.314
16,Test set,Accuracy,AdamW,86.0
17,Train set,Average loss,AdamW,0.2957
17,Train set,Accuracy,AdamW,87.0
17,Test set,Average loss,AdamW,0.4573
17,Test set,Accuracy,AdamW,85.0
18,Train set,Average loss,AdamW,0.6478
18,Train set,Accuracy,AdamW,87.0
18,Test set,Average loss,AdamW,0.4333
18,Test set,Accuracy,AdamW,85.0
19,Train set,Average loss,AdamW,0.768
19,Train set,Accuracy,AdamW,87.0
19,Test set,Average loss,AdamW,0.4587
19,Test set,Accuracy,AdamW,85.0
20,Train set,Average loss,AdamW,0.4261
20,Train set,Accuracy,AdamW,87.0
20,Test set,Average loss,AdamW,0.3663
20,Test set,Accuracy,AdamW,86.0
21,Train set,Average loss,AdamW,0.5808
21,Train set,Accuracy,AdamW,88.0
21,Test set,Average loss,AdamW,0.4245
21,Test set,Accuracy,AdamW,86.0
22,Train set,Average loss,AdamW,0.1541
22,Train set,Accuracy,AdamW,87.0
22,Test set,Average loss,AdamW,0.4032
22,Test set,Accuracy,AdamW,84.0
23,Train set,Average loss,AdamW,0.3953
23,Train set,Accuracy,AdamW,87.0
23,Test set,Average loss,AdamW,0.4091
23,Test set,Accuracy,AdamW,84.0
24,Train set,Average loss,AdamW,0.4048
24,Train set,Accuracy,AdamW,87.0
24,Test set,Average loss,AdamW,0.4227
24,Test set,Accuracy,AdamW,86.0
25,Train set,Average loss,AdamW,0.7875
25,Train set,Accuracy,AdamW,88.0
25,Test set,Average loss,AdamW,0.5042
25,Test set,Accuracy,AdamW,83.0
26,Train set,Average loss,AdamW,0.3222
26,Train set,Accuracy,AdamW,88.0
26,Test set,Average loss,AdamW,0.3731
26,Test set,Accuracy,AdamW,86.0
27,Train set,Average loss,AdamW,0.6928
27,Train set,Accuracy,AdamW,87.0
27,Test set,Average loss,AdamW,0.4009
27,Test set,Accuracy,AdamW,84.0
28,Train set,Average loss,AdamW,0.3529
28,Train set,Accuracy,AdamW,88.0
28,Test set,Average loss,AdamW,0.4297
28,Test set,Accuracy,AdamW,85.0
29,Train set,Average loss,AdamW,0.4096
29,Train set,Accuracy,AdamW,88.0
29,Test set,Average loss,AdamW,0.4003
29,Test set,Accuracy,AdamW,86.0
30,Train set,Average loss,AdamW,0.4043
30,Train set,Accuracy,AdamW,88.0
30,Test set,Average loss,AdamW,0.46
30,Test set,Accuracy,AdamW,86.0
1,Train set,Average loss,Adamax,0.3616
1,Train set,Accuracy,Adamax,83.0
1,Test set,Average loss,Adamax,0.3275
1,Test set,Accuracy,Adamax,85.0
2,Train set,Average loss,Adamax,0.2308
2,Train set,Accuracy,Adamax,87.0
2,Test set,Average loss,Adamax,0.3542
2,Test set,Accuracy,Adamax,86.0
3,Train set,Average loss,Adamax,0.4765
3,Train set,Accuracy,Adamax,88.0
3,Test set,Average loss,Adamax,0.367
3,Test set,Accuracy,Adamax,86.0
4,Train set,Average loss,Adamax,0.3285
4,Train set,Accuracy,Adamax,89.0
4,Test set,Average loss,Adamax,0.3054
4,Test set,Accuracy,Adamax,87.0
5,Train set,Average loss,Adamax,0.2483
5,Train set,Accuracy,Adamax,90.0
5,Test set,Average loss,Adamax,0.2872
5,Test set,Accuracy,Adamax,87.0
6,Train set,Average loss,Adamax,0.1361
6,Train set,Accuracy,Adamax,90.0
6,Test set,Average loss,Adamax,0.3135
6,Test set,Accuracy,Adamax,87.0
7,Train set,Average loss,Adamax,0.2306
7,Train set,Accuracy,Adamax,91.0
7,Test set,Average loss,Adamax,0.3264
7,Test set,Accuracy,Adamax,88.0
8,Train set,Average loss,Adamax,0.3907
8,Train set,Accuracy,Adamax,91.0
8,Test set,Average loss,Adamax,0.3602
8,Test set,Accuracy,Adamax,88.0
9,Train set,Average loss,Adamax,0.1428
9,Train set,Accuracy,Adamax,91.0
9,Test set,Average loss,Adamax,0.3152
9,Test set,Accuracy,Adamax,89.0
10,Train set,Average loss,Adamax,0.208
10,Train set,Accuracy,Adamax,92.0
10,Test set,Average loss,Adamax,0.3403
10,Test set,Accuracy,Adamax,88.0
11,Train set,Average loss,Adamax,0.1945
11,Train set,Accuracy,Adamax,92.0
11,Test set,Average loss,Adamax,0.439
11,Test set,Accuracy,Adamax,89.0
12,Train set,Average loss,Adamax,0.2656
12,Train set,Accuracy,Adamax,92.0
12,Test set,Average loss,Adamax,0.4067
12,Test set,Accuracy,Adamax,89.0
13,Train set,Average loss,Adamax,0.1138
13,Train set,Accuracy,Adamax,93.0
13,Test set,Average loss,Adamax,0.3203
13,Test set,Accuracy,Adamax,89.0
14,Train set,Average loss,Adamax,0.239
14,Train set,Accuracy,Adamax,93.0
14,Test set,Average loss,Adamax,0.401
14,Test set,Accuracy,Adamax,89.0
15,Train set,Average loss,Adamax,0.3161
15,Train set,Accuracy,Adamax,93.0
15,Test set,Average loss,Adamax,0.4072
15,Test set,Accuracy,Adamax,89.0
16,Train set,Average loss,Adamax,0.2046
16,Train set,Accuracy,Adamax,93.0
16,Test set,Average loss,Adamax,0.3093
16,Test set,Accuracy,Adamax,89.0
17,Train set,Average loss,Adamax,0.1995
17,Train set,Accuracy,Adamax,93.0
17,Test set,Average loss,Adamax,0.3586
17,Test set,Accuracy,Adamax,89.0
18,Train set,Average loss,Adamax,0.3663
18,Train set,Accuracy,Adamax,94.0
18,Test set,Average loss,Adamax,0.3787
18,Test set,Accuracy,Adamax,89.0
19,Train set,Average loss,Adamax,0.2739
19,Train set,Accuracy,Adamax,94.0
19,Test set,Average loss,Adamax,0.3331
19,Test set,Accuracy,Adamax,89.0
20,Train set,Average loss,Adamax,0.169
20,Train set,Accuracy,Adamax,94.0
20,Test set,Average loss,Adamax,0.3726
20,Test set,Accuracy,Adamax,89.0
21,Train set,Average loss,Adamax,0.2901
21,Train set,Accuracy,Adamax,94.0
21,Test set,Average loss,Adamax,0.5421
21,Test set,Accuracy,Adamax,89.0
22,Train set,Average loss,Adamax,0.199
22,Train set,Accuracy,Adamax,94.0
22,Test set,Average loss,Adamax,0.4872
22,Test set,Accuracy,Adamax,89.0
23,Train set,Average loss,Adamax,0.227
23,Train set,Accuracy,Adamax,94.0
23,Test set,Average loss,Adamax,0.3134
23,Test set,Accuracy,Adamax,88.0
24,Train set,Average loss,Adamax,0.3847
24,Train set,Accuracy,Adamax,95.0
24,Test set,Average loss,Adamax,0.4846
24,Test set,Accuracy,Adamax,90.0
25,Train set,Average loss,Adamax,0.0095
25,Train set,Accuracy,Adamax,95.0
